address,lat,long
"199 Boylston Street, Newton, MA, 2459",42.3214409,-71.17602117765006
"840 Providence Highway, Dedham, MA, 02026",42.2359433,-71.17825560392322
"210 Andover Street, Peabody, MA, 01960",42.54110055,-70.94528520432343
"98 Accord Park Dr, Norwell, MA, 02061",42.1665512,-70.88773929731488
"2919 29th Street SE, Grand Rapids, MI, 49512",42.910967049999996,-85.59566628070226
"2800 W. Big Beaver Road, Troy, MI, 48084",42.56277565,-83.18411405289888
"27500 Novi Rd, Novi, MI, 48377",42.4921779,-83.47030413047682
"60 E Broadway, Bloomington, MN, 55425",44.8550204,-93.24211951022394
"6801 Washington Ave S, Minneapolis, MN, 55439",44.98190078279946,-93.2686217222707
"22015 S Diamond Lake Rd, Rogers, MN, 55374",45.1995328982848,-93.56156410572714
"700 Ottawa Ave N, Golden Valley, MN, 55422",44.98639733298696,-93.33984988745487
"10111 State Line Road, Kansas City, MO, 64114",38.94465565,-94.60737529753156
"16955 Chesterfield Airport Road, Chesterfield, MO, 63005",38.6688654,-90.5875746
"5711 S LINDBERGH BLVD, SAINT LOUIS, MO, 63123",38.52269323136686,-90.34975495876584
"3250 E SAHARA AVE, Las Vegas, NV, 89104",36.1449483,-115.1036776
"7077 West Sahara Avenue, Las Vegas, NV, 89117",36.14418075627815,-115.24699331677355
"9732 S Virginia Street, Reno, NV, 89511",39.44469295,-119.76984137617004
"1  American Dream Way, East Rutherford, NJ, 07073",40.8086083,-74.0720547
"269 Route 35, Eatontown, NJ, 07724",40.29084415,-74.05201339999999
"3371 Brunswick Pike, Lawrence Township, NJ, 08648",40.2972417,-74.6833064
"55 Parsonage Rd, Edison, NJ, 8837",40.5477886,-74.33629629277883
"530 NJ-17, Paramus, NJ, 07652",40.95761165,-74.0734551470916
"135 US 22, Springfield, NJ, 07081",40.6858088,-74.31652720994126
"1400 Willowbrook Mall, Wayne, NJ, 07470",40.8882017,-74.2585796
"160 Van Brunt Street, Brooklyn, NY, 11231",40.6831865,-74.0063047
"326 Old Niskayuna Road, Latham, NY, 12110",42.74248575,-73.79367819759476
"7 Aerial Way, Syosset, NY, 11791",40.800267000000005,-73.51532935
"2122 Northern Blvd, Manhasset, NY, 11030",40.79631915,-73.66963235407036
